name,record,record_len,accel-system.cpu.numCycles,accel-simInsts,accel-simOps,accel-zeroCount,accel-sameAdd,accel-switchingAdd,accel-sameDiv,accel-switchingDiv,naive-system.cpu.numCycles,naive-simInsts,naive-simOps,naive-zeroCount,naive-sameAdd,naive-switchingAdd,naive-sameDiv,naive-switchingDiv,exit_code
imagenet1k_vitb,6,1000,3181,38,38,65,13,2003,11,989,5473483,64009,64009,0,0,0,0,0,0x000103e8
imagenet1k_vitb,7,1000,3181,38,38,80,12,2004,10,990,5473583,64009,64009,0,0,0,0,0,0x006c03e8
imagenet1k_vitb,8,1000,3181,38,38,78,20,1996,16,984,5473370,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,9,1000,3181,38,38,59,9,2007,7,993,5473560,64009,64009,0,0,0,0,0,0x002603e8
imagenet1k_vitb,10,1000,3181,38,38,126,32,1984,26,974,5473532,64009,64009,0,0,0,0,0,0x035f03e8
imagenet1k_vitb,11,1000,3181,38,38,60,12,2004,9,991,5473546,64009,64009,0,0,0,0,0,0x010903e8
imagenet1k_vitb,12,1000,3181,38,38,38,2,2014,2,998,5473364,64009,64009,0,0,0,0,0,0x002903e8
imagenet1k_vitb,13,1000,3181,38,38,248,75,1941,64,936,5473706,64009,64009,0,0,0,0,0,0x000103e8
imagenet1k_vitb,14,1000,3181,38,38,110,23,1993,17,983,5473692,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,15,1000,3181,38,38,62,7,2009,7,993,5473483,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,16,1000,3181,38,38,82,8,2008,7,993,5473568,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,17,1000,3181,38,38,39,2,2014,2,998,5473489,64009,64009,0,0,0,0,0,0x009903e8
imagenet1k_vitb,84,1000,3181,38,38,54,5,2011,4,996,5473560,64009,64009,0,0,0,0,0,0x004403e8
imagenet1k_vitb,85,1000,3181,38,38,41,4,2012,2,998,5473489,64009,64009,0,0,0,0,0,0x005c03e8
imagenet1k_vitb,86,1000,3181,38,38,48,6,2010,4,996,5473580,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,87,1000,3181,38,38,262,90,1926,76,924,5473790,64009,64009,0,0,0,0,0,0x000903e8
imagenet1k_vitb,88,1000,3181,38,38,168,34,1982,27,973,5473603,64009,64009,0,0,0,0,0,0x002a03e8
imagenet1k_vitb,89,1000,3181,38,38,90,28,1988,17,983,5473401,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,0,1000,3181,38,38,96,18,1998,14,986,5473189,64009,64009,0,0,0,0,0,0x02cb03e8
imagenet1k_vitb,1,1000,3181,38,38,82,14,2002,12,988,5473449,64009,64009,0,0,0,0,0,0x004003e8
imagenet1k_vitb,2,1000,3181,38,38,208,48,1968,43,957,5473547,64009,64009,0,0,0,0,0,0x000003e8
imagenet1k_vitb,3,1000,3181,38,38,75,11,2005,10,990,5473534,64009,64009,0,0,0,0,0,0x000003e8
